1#,1#,Ilość,Cena netto,Wartość netto,Wartość brutto
filtr kabinowy b43002pr K1112-2x,IC-A9013C,1,"16,39","16,39","20,16"
Filtr powietrza Filtron AP 082,5904608000828,1,"9,63","9,63","11,84"
Filtr powietrza Filtron AP 082/2,5904608020826,1,"13,65","13,65","16,79"
Filtr powietrza Filtron AP 078/2,5904608030788,1,"19,03","19,03","23,41"
15#,15#,0,0,0,0
Filtr kabinowy B4G000PR K1008,IC-A9C475,1,"14,65","14,65","18,02"
Filtr powietrza B2P012PR Ap 021,IC-A9C547,1,"8,1","8,1","9,96"
Filtr powietrza B2F036PR AP091,IC-A9C489,1,"8,85","8,85","10,89"
Filtr kabinowy Filtron K1262-2x,5904608802620,1,"33,75","33,75","41,51"
Filtr powietrza B2X020PR AP071,IC-A9FD56,1,"7,05","7,05","8,67"
Filtr powietrza B2F002PR,IC-AEF6EA,1,"8,25","8,25","10,15"
Filtr powietrza B2G024PR,IC-AA017A,1,"8,9","8,9","10,95"
Filtr powietrza FILTRON AP071,5904608000712,1,"13,49","13,49","16,59"
Filtr pow. kabinowy Knecht LA39,4009026069424,1,"28,71","28,71","35,31"
Filtr powietrza B2F032PR AP 077,IC-AEF6E8,1,"8,82","8,82","10,85"
Filtr powietrza FILTRON AP076,5904608000767,2,"10,83","21,66","26,64"
Filtr powietrza B2F031PR AP076,IC-A9C7B7,1,"7,33","7,33","9,02"
16#,16#,0,0,0,0
Filtr powietrza FILTRON AP051/6,5904608070517,1,"24,02","24,02","29,54"
Filtr powietrza B20004PR AP 082/2,IC-A94AAC,1,"8,05","8,05","9,9"
Filtr powietrza Filtron AP 080/9,5904608100801,1,"29,02","29,02","35,69"
Filtr powietrza FILTRON AP074/5,5904608060747,1,"18,48","18,48","22,73"
Filtr powietrza B2F032PR AP 077,IC-AEF6E8,1,"8,82","8,82","10,85"
Filtr powietrza B2G063PR Ap 074/6,IC-B46EE7,1,"11,58","11,58","14,24"
Filtr kabinowy B4F021PR K1209,IC-B46F22,1,"13,83","13,83","17,01"
Filtr powietrza B2G030PR AP 074,IC-AA017B,1,"9,61","9,61","11,82"
Filtr powietrza Filtron AP 058/2,5904608030580,1,"21,8","21,8","26,81"
