1,KOD,ILOSC,nr z odkupu,NAZWA_TOWARU,KOD,ILOSC,IND_IC,NAZWA,CENA DO ODKUPU PLN ZA 1 SZT.
Filtr powietrza B2S006PR AP 149/4,IC-AA0F25,2,,Filtr powietrza B2F039PR AR 234/2,IC-AEF6E9,2,AR 234/2,Filtr powietrza,"11,71"
Filtr powietrza B2W030PR AP 149/3,IC-AA1FAC,1,,Filtr kabinowy B4C009PR K1107,IC-AA069F,1,K 1107,Filtr kabiny,"11,7"
Filtr powietrza B2X028PR AP152,IC-AE7CE5,1,,Filtr oleju Filtron OP 538,5904608005380,1,OP 538,Filtr oleju,"11,7"
Filtr powietrza B2V012PR AP 149,IC-AA1EF7,1,,Filtr powietrza Filtron AR 232/1,5904608012326,1,AR 232/1,Filtr powietrza,"11,63"
Filtr powietrza B22092PR AP 142/6,IC-A90091,1,,Filtr oleju Filtron OE 640/7,5904608086402,1,OE 640/7,Filtr oleju,"11,51"
Filtr powietrza Filtron AP 134/2,5904608021342,1,,Zestaw naprawczy zacisku D4-538,8430320045955,2,D4-538,Zestaw naprawczy zacisku hamulcowego,"11,49"
Filtr powietrza Filtron AP 142/3,5904608041425,1,,Filtr oleju Filtron OC 601,5904608006011,1,OC 601,Filtr oleju,"11,43"
Filtr powietrza LX1950 AP142/4,4009026511442,1,,Filtr powietrza B2C021PR AP 130/7,IC-AEF6DA,2,AP 130/7,Filtr powietrza,"11,4"
Filtr powietrza B22089PR AP 142/3,IC-A9016B,1,,Filtr powietrza Filtron AP 160/1,5904608021601,1,AP 160/1,Filtr powietrza,"11,4"
Filtr powietrza Filtron AP 155,5904608001559,2,,Filtr powietrza B2F059PR AP 092/7,IC-B46ECE,1,AP 092/7,Filtr powietrza,"11,25"
Filtr powietrza Filtron AP 151/5,5904608061515,1,,Filtr powietrza B22092PR AP 142/6,IC-A90091,1,AP 142/6,Filtr powietrza,"11,24"
Filtr powietrza B21060PR,IC-A8FDDB,1,,Filtr pow. kabinowy Filtron K 1127,5904608081278,1,K 1127,Filtr kabiny,"11,16"
4,,,,Filtr powietrza B2C021PR AP 130/8,IC-AEF6DA,1,AP 130/8,Filtr powietrza,"11,15"
Filtr powietrza B2G018PR AE251,,1,,Filtr kabinowy B4A003PR K1032,IC-AEF60C,2,K 1032,Filtr kabiny,"11,05"
Filtr powietrza B2W026PR AR 265/1,IC-AEF687,1,,Filtr paliwa Filtron PP 837,5904608008374,1,PP 837,Filtr paliwa,"11,02"
Filtr powietrza B2F049PR AR 234/3,IC-AEF6E1,2,,Filtr powietrza B20332PR AP 177/7,IC-AA0D8C,1,AP 177/7,Filtr powietrza,"11,02"
Filtr powietrza B2F055PR AR 232/2,IC-B9C55F,1,,Filtr powietrza Filtron AP 185/1,5904608011855,2,AP 185/1,Filtr powietrza,"11,02"
Filtr powietrza B24033PR AP187/1,IC-A90042,1,,Filtr powietrza B2P027PR AP 080/8,IC-AEF65B,1,AP 080/8,Filtr powietrza,"11,01"
Filtr powietrza B2W009PR AR 265,IC-AA017E,1,,Filtr powietrza B2R040PR AP 135/2,IC-AA1EF6,1,AP 135/2,Filtr powietrza,"10,96"
Filtr powietrza Filtron AP 182/7,5904608081827,1,,Zestaw naprawczy zacisku D4-083,8430320017280,2,D4-083,Zestaw naprawczy zacisku hamulcowego,"10,9"
Filtr powietrza Filtron AR 234/3,5904608042347,1,,Filtr powietrza B2F069PR AP 022/2,IC-B9C64A,1,AP 022/2,Filtr powietrza,"10,83"
Filtr powietrza B2G070PR AK 372/1,IC-BDC016,1,,Filtr kabinowy B4W024CPR,IC-D0B3AB,1,B4W024CPR,Filtr kabiny,"10,81"
Filtr powietrza B28029PR,IC-A8FDFA,2,,Filtr paliwa FILTRON PM 815/4,5904608058157,1,PM 815/4,Filtr paliwa,"10,8"
Filtr powietrza B2F070PR AR 316/1,,1,,Filtr powietrza B2R048PR AP 185/2,IC-B9C580,1,AP 185/2,Filtr powietrza,"10,79"
Filtr powietrza Purflux A1096,3286061841791,1,,Filtr kabinowy B4C011PR K1128,IC-BA109B,1,K 1128,Filtr kabiny,"10,77"
Filtr powietrza B24033PR AP187/1,IC-A90042,1,,Filtr kabinowy Filtron K1014,5904608010148,1,K 1014,Filtr kabiny,"10,75"
Filtr powietrza Filtron AP 195,5904608001955,1,,Filtr oleju Filtron OE 640/2,5904608026408,1,OE 640/2,Filtr oleju,"10,74"
Filtr powietrza B28038PR Ap 190/9,IC-B8B667,1,,Filtr oleju Filtron OP 616/2,5904608026163,1,OP 616/2,Filtr oleju,"10,68"
Filtr powietrza B28025PR,IC-A9006C,1,,Filtr powietrza B25049PR AP 181,IC-A90036,1,AP 181,Filtr powietrza,"10,67"
Filtr powietrza B2R048PR AP 185/2,IC-B9C580,1,,PX C446,3286061813651,1,PX C446,Filtr paliwa,"10,66"
